,user_id,song,listen_count
1001,48649,Paradise & Dreams - Darren Styles,796
1009,47915,Bodies - Drowning Pool,330
1132,8990,Cold Blooded (Acid Cleanse) - The fFormula,208
1778,42794,Reelin\' In The Years - Steely Dan,311
2160,49938,(They Long To Be) Close To You - Carpenters,270
2168,49938,Invalid - Tub Ring,272
2257,40346,The Good Fight - Dashboard Confessional,333
2398,56958,Bird Song - Florence + The Machine,419
2471,26129,19-2000 - Gorillaz,226
3592,39291,Undo - Björk,219
3598,39291,Représente - Alliance Ethnik,221
3601,39291,Revelry - Kings Of Leon,226
4992,59336,Without Me - Eminem,204
5322,16205,Time Bomb - Iration,364
5874,47161,Where Is My Mind? - Pixies,236
7078,14631,It\'s Raining Men (Radio Edit) - Geri Halliwell,422
7079,14631,Revelry - Kings Of Leon,284
7082,14631,..Come Around - Collie Buddz,401
8322,53502,My Curse (Album Version) - Killswitch Engage,226
8723,52019,Mala Vida - Mano Negra,235
9163,59623,Working With Homesick - Homesick James,353
10013,46436,Houstatlantavegas - Drake,311
10201,50236,Interactive Halloween Bear - Restiform Bodies,202
10441,16617,Back To You - John Mayer,265
10649,10306,Selling The Drama - Live,207
11440,41762,You\'re The One - Dwight Yoakam,225
12022,39064,It Was A Good Day - Ice Cube,328
12280,34996,The Big Gundown - The Prodigy,372
12932,47893,Canada - Five Iron Frenzy,236
13304,39993,Voices On A String (Album Version) - Thursday,416
13389,12564,Kelma - Rachid Taha,293
13874,32354,Revelry - Kings Of Leon,488
15804,923,Two Is Better Than One - Boys Like Girls featuring Taylor Swift,333
15914,48146,Hounds of Love (new mix) - The Futureheads,383
16201,62604,The Quest - HYPOCRISY,585
17555,882,Long Arm Of The Law - Looptroop,202
17640,5789,Hold You - Gyptian,283
18138,54202,Gears - Future Rock,224
18186,60533,Nine Times Out Of Ten (1998 Digital Remaster) - Cliff Richard & The Shadows,431
18192,60533,Ain\'t Misbehavin - Sam Cooke,207
18194,60533,Crazier - Taylor Swift,205
18463,11402,Drunk On Love - Radney Foster,302
19110,35313,You\'re The One - Dwight Yoakam,206
19133,18253,Reign Of The Tyrants - Jag Panzer,255
19140,18253,Make Love To Your Mind - Bill Withers,243
19168,51319,Ain\'t Misbehavin - Sam Cooke,353
19473,25987,Alma De Diamante - Luis Alberto Spinetta,226
19652,31214,Cover Me - Björk,208
19879,30907,Catch You Baby (Steve Pitron & Max Sanna Radio Edit) - Lonnie Gordon,205
21096,53438,El Scorcho - Weezer,415
22050,38114,Love Is Gonna Save Us  - Benny Benassi Presents The Biz,261
23599,50100,Officially Missing You (Radio Version) - Tamia,356
25367,59094,Coffee Shop [Feat. Gorilla Zoe] (Explicit Album Version) - Yung Joc featuring Gorilla Zoe,252
25827,44862,Magia - Rosana,215
26425,26606,You\'re The One - Dwight Yoakam,446
28659,36792,Every Little Thing (Album Version) - Carlene Carter,224
29250,23040,Aguas De Marco - João Gilberto,267
29704,40645,You\'re The One - Dwight Yoakam,359
30564,51250,Woods - Bon Iver,207
31082,26445,221 - keller williams,292
31740,58428,Gotas De Agua Dulce - Juanes,251
33039,20920,Crack Under Pressure - Righteous Pigs,920
33236,18077,Hey Mama - Black Eyed Peas,250
33237,18077,W - Perfect Stranger,228
34093,22072,Tive Sim - Cartola,206
34277,49964,Undo - Björk,208
35455,61353,Never Say Never - Armin van Buuren,220
35619,22746,Nah! - Shania Twain,226
35622,22746,The Four Horsemen - Metallica,224
35623,22746,16 Candles - The Crests,224
36722,16430,Big Green Tractor - Jason Aldean,310
37060,27752,Drive - Savatage,252
37109,27003,Caroline - CREMATORY,375
37757,64486,221 - keller williams,295
40633,56693,Bulletproof - La Roux,218
40721,27945,It\'s Time I Go (Jazz) - Joyce Cooling,286
42646,54373,Reelin\' In The Years - Steely Dan,649
42650,54373,Love Story - Taylor Swift,333
43220,50319,Le Courage Des Oiseaux - Dominique A,261
43221,50319,Video Killed The Radio Star - The Buggles,247
46728,4598,Secrets - OneRepublic,221
48875,11330,Vincent - Don McLean,234
48877,11330,Peace Train - Cat Stevens,500
49038,57754,Revelry - Kings Of Leon,372
49717,23418,Undo - Björk,392
49779,43181,Day & Night - Basshunter,252
50947,29109,A-Punk (Album) - Vampire Weekend,305
50948,29109,Fast Car (LP Version) - Tracy Chapman,553
50950,29109,Here Without You - 3 Doors Down,274
50951,29109,I\'m On A Boat - The Lonely Island / T-Pain,676
51073,20851,Why Don\'t We Just Dance - Josh Turner,232
52130,12203,There You Go - Crayons,392
52711,30454,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile) - Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,250
54431,3797,Recado Falado (Metrô Da Saudade) - Alceu Valença,413
54889,13605,Listen To Your Heart - DHT Feat. Edmée,307
55804,16090,Addams Groove - MC Hammer,322
56385,63533,Can\'t Help But Wait (Album Version) - Trey Songz,605
57076,49439,Nah! - Shania Twain,259
57079,49439,Seeds Of Night - The Cave Singers,254
57521,9050,Above The Clouds (Edited) - Gang Starr/Inspectah Deck,267
57956,49795,You\'re The One - Dwight Yoakam,683
57964,49795,Glamorous - Fergie / Ludacris,500
58485,30217,Take Your Mama - Scissor Sisters,201
58498,5421,Train - Goldfrapp,297
59140,57474,Mr Vain - Culture Beat,310
59901,54978,A Beggar On A Beach Of Gold - Mike And The Mechanics,453
61431,14698,Frisch und g\'sund - Die Mooskirchner,260
